CDL,lon,lat,scl,coastal,blue,green,red,rededge1,rededge2,rededge3,nir,nir08,nir09,swir16,swir22,bbox,year,tile,scene_date
Soybeans,-90.58671939817157,35.57598398977203,5,727,1068,1730,1710,2283,3141,3512,3940,3990,4069,4068,2604,"484932, 1401912, 489035, 1405125",2019,15SYV_1,2019-09-08
Rice,-90.5863860086158,35.57596873243044,5,655,1056,1462,1304,1999,3011,3408,3980,4016,3914,3787,2479,"484932, 1401912, 489035, 1405125",2019,15SYV_1,2019-09-08
Rice,-90.58605261919344,35.575953474150076,4,594,802,1314,1138,1827,3037,3452,3840,3987,3661,3592,2298,"484932, 1401912, 489035, 1405125",2019,15SYV_1,2019-09-08
Rice,-90.58571922990447,35.57593821493089,4,594,822,1296,1416,1917,2890,3357,3452,3768,3661,3771,2580,"484932, 1401912, 489035, 1405125",2019,15SYV_1,2019-09-08
Rice,-90.58538584074891,35.57592295477293,4,573,790,1126,1152,1893,2727,3048,3308,3595,2968,3703,2540,"484932, 1401912, 489035, 1405125",2019,15SYV_1,2019-09-08
Fallow/Idle Cropland,-90.58505245172678,35.575907693676086,4,573,944,1324,1414,1965,2549,2829,3044,3299,2968,3827,2714,"484932, 1401912, 489035, 1405125",2019,15SYV_1,2019-09-08
Rice,-90.58471906283808,35.5758924316405,4,800,864,1150,1304,1553,2156,2520,2806,2968,3118,3676,2370,"484932, 1401912, 489035, 1405125",2019,15SYV_1,2019-09-08
Rice,-90.5843856740828,35.575877168666054,4,800,740,1070,1262,1526,2188,2601,2850,3113,3118,3620,2323,"484932, 1401912, 489035, 1405125",2019,15SYV_1,2019-09-08
Soybeans,-90.58405228546097,35.57586190475282,5,2396,970,1384,1554,2090,2844,3244,3296,3848,4500,4281,2977,"484932, 1401912, 489035, 1405125",2019,15SYV_1,2019-09-08
Soybeans,-90.5837188969726,35.57584663990078,5,2396,1028,1424,1682,2197,2757,3118,3052,5292,4500,4322,3152,"484932, 1401912, 489035, 1405125",2019,15SYV_1,2019-09-08
Soybeans,-90.58338550861768,35.57583137410995,4,1469,1008,1382,1544,2026,2890,4353,3228,4318,4049,4138,2988,"484932, 1401912, 489035, 1405125",2019,15SYV_1,2019-09-08
Corn,-90.58305212039623,35.575816107380305,5,1469,1076,1490,1816,2148,3540,3750,3196,3936,4049,4193,2777,"484932, 1401912, 489035, 1405125",2019,15SYV_1,2019-09-08
Soybeans,-90.58271873230827,35.57580083971186,5,1189,1104,1434,1694,2103,2947,3256,2840,3608,3879,4211,2779,"484932, 1401912, 489035, 1405125",2019,15SYV_1,2019-09-08
Soybeans,-90.58238534435378,35.5757855711046,5,1189,1162,1656,1958,2168,2952,3358,3124,3909,3879,3936,2514,"484932, 1401912, 489035, 1405125",2019,15SYV_1,2019-09-08
Soybeans,-90.58205195653278,35.57577030155851,10,1300,1088,1742,1770,2372,2985,3241,2764,3844,6508,3779,2667,"484932, 1401912, 489035, 1405125",2019,15SYV_1,2019-09-08
Soybeans,-90.5817185688453,35.575755031073626,10,1300,1434,2054,2116,2441,3220,3559,4348,3697,6508,3809,2958,"484932, 1401912, 489035, 1405125",2019,15SYV_1,2019-09-08
Soybeans,-90.58138518129131,35.57573975964997,10,1360,2088,2284,2486,2792,3724,4057,4444,4387,6762,4157,3053,"484932, 1401912, 489035, 1405125",2019,15SYV_1,2019-09-08
Developed/Open Space,-90.58105179387084,35.57572448728751,10,1360,2078,2158,2392,2808,3651,4171,4308,4468,6762,4306,2930,"484932, 1401912, 489035, 1405125",2019,15SYV_1,2019-09-08
Developed/Open Space,-90.5807184065839,35.5757092139862,10,1464,1642,1678,1748,2303,3664,4253,4292,4646,8048,3695,2435,"484932, 1401912, 489035, 1405125",2019,15SYV_1,2019-09-08
Developed/Open Space,-90.5803850194305,35.57569393974612,10,1464,1500,1280,1410,2117,3589,4187,3976,4575,8048,3404,2297,"484932, 1401912, 489035, 1405125",2019,15SYV_1,2019-09-08
