CDL,lon,lat,scl,coastal,blue,green,red,rededge1,rededge2,rededge3,nir,nir08,nir09,swir16,swir22,bbox,year,tile,scene_date
Developed/Open Space,-90.58112791648963,35.574654277131046,10,1376,1280,1604,1952,2365,3331,3932,3664,4273,7042,3904,2616,"484932, 1401912, 489035, 1405125",2019,15SYV_1,2019-09-08
Developed/Open Space,-90.58079453386563,35.5746390040302,10,993,1450,1276,1096,2065,3906,4472,4564,4803,6317,3334,1844,"484932, 1401912, 489035, 1405125",2019,15SYV_1,2019-09-08
Cotton,-90.58046115137515,35.57462372999056,10,993,1232,1446,1080,1775,4015,4523,4624,5037,6317,2920,1411,"484932, 1401912, 489035, 1405125",2019,15SYV_1,2019-09-08
Cotton,-90.5801277690182,35.57460845501214,10,956,1072,1402,1224,1916,3774,4279,4336,4657,6954,3054,1585,"484932, 1401912, 489035, 1405125",2019,15SYV_1,2019-09-08
Cotton,-90.5797943867948,35.574593179094904,10,956,952,1230,1144,1994,3703,4210,4228,4620,6954,3087,1743,"484932, 1401912, 489035, 1405125",2019,15SYV_1,2019-09-08
Cotton,-90.57946100470495,35.574577902238914,10,1181,672,983,1030,1934,3942,4471,4280,4900,6781,3050,1741,"484932, 1401912, 489035, 1405125",2019,15SYV_1,2019-09-08
Cotton,-90.57912762274867,35.574562624444155,10,1181,532,846,571,1661,4185,4741,4908,5196,6781,2905,1674,"484932, 1401912, 489035, 1405125",2019,15SYV_1,2019-09-08
Cotton,-90.57879424092596,35.57454734571055,4,1418,589,796,700,1629,4268,5016,4908,5394,5469,2844,1492,"484932, 1401912, 489035, 1405125",2019,15SYV_1,2019-09-08
Cotton,-90.5784608592368,35.57453206603818,4,1418,579,890,900,1708,4268,5000,5084,5372,5469,2830,1598,"484932, 1401912, 489035, 1405125",2019,15SYV_1,2019-09-08
Cotton,-90.57812747768125,35.57451678542702,4,1382,554,905,944,1719,4040,4769,4972,5218,4933,2935,1766,"484932, 1401912, 489035, 1405125",2019,15SYV_1,2019-09-08
Cotton,-90.57779409625928,35.57450150387707,4,1382,749,1078,1122,1810,3771,4368,4176,4828,4933,3153,1924,"484932, 1401912, 489035, 1405125",2019,15SYV_1,2019-09-08
Rice,-90.57746071497091,35.574486221388355,4,1105,698,1128,1278,2006,3353,3750,3632,4239,4178,2767,1621,"484932, 1401912, 489035, 1405125",2019,15SYV_1,2019-09-08
Rice,-90.57712733381616,35.57447093796083,4,1105,517,926,974,1823,3236,3740,3560,4168,4178,2511,1390,"484932, 1401912, 489035, 1405125",2019,15SYV_1,2019-09-08
Rice,-90.57679395279501,35.574455653594555,4,900,686,966,1114,1890,3219,3643,3476,4104,4099,2600,1505,"484932, 1401912, 489035, 1405125",2019,15SYV_1,2019-09-08
Rice,-90.5764605719075,35.57444036828948,4,900,570,905,902,1782,3121,3614,3484,4059,4099,2453,1362,"484932, 1401912, 489035, 1405125",2019,15SYV_1,2019-09-08
Rice,-90.57612719115363,35.57442508204562,4,971,570,924,862,1652,3013,3486,3528,3930,3904,2309,1183,"484932, 1401912, 489035, 1405125",2019,15SYV_1,2019-09-08
Rice,-90.57579381053338,35.574409794862994,4,971,517,921,804,1522,2827,3307,3372,3760,3904,2218,1155,"484932, 1401912, 489035, 1405125",2019,15SYV_1,2019-09-08
Rice,-90.5754604300468,35.57439450674156,4,1089,497,749,646,1301,2729,3414,3288,3988,4077,2170,1415,"484932, 1401912, 489035, 1405125",2019,15SYV_1,2019-09-08
Rice,-90.57512704969388,35.57437921768139,4,1089,469,824,680,1356,2809,3512,3300,4033,4077,2197,1437,"484932, 1401912, 489035, 1405125",2019,15SYV_1,2019-09-08
Rice,-90.57479366947462,35.57436392768237,4,1046,456,855,694,1356,2823,3404,3456,3993,4042,2079,1310,"484932, 1401912, 489035, 1405125",2019,15SYV_1,2019-09-08
Rice,-90.57446028938902,35.57434863674459,4,1046,522,956,806,1459,2952,3524,3464,3982,4042,2167,1296,"484932, 1401912, 489035, 1405125",2019,15SYV_1,2019-09-08
Rice,-90.57412690943711,35.574333344868045,4,1203,550,1002,816,1476,2796,3401,3400,3939,4049,2192,1409,"484932, 1401912, 489035, 1405125",2019,15SYV_1,2019-09-08
Rice,-90.5737935296189,35.57431805205273,4,1203,524,1016,980,1497,2885,3559,3516,4141,4049,2165,1576,"484932, 1401912, 489035, 1405125",2019,15SYV_1,2019-09-08
Rice,-90.57346014993436,35.574302758298614,4,1677,548,955,867,1526,2793,3358,3352,3963,4015,2279,1533,"484932, 1401912, 489035, 1405125",2019,15SYV_1,2019-09-08
Developed/Open Space,-90.57312677038355,35.574287463605756,4,1677,1106,1512,1820,1959,3000,3553,3524,3999,4015,3270,2267,"484932, 1401912, 489035, 1405125",2019,15SYV_1,2019-09-08
Fallow/Idle Cropland,-90.57279339096645,35.57427216797411,5,1996,1488,1558,1886,1996,2355,2842,2902,3585,3781,3838,2823,"484932, 1401912, 489035, 1405125",2019,15SYV_1,2019-09-08
Fallow/Idle Cropland,-90.57246001168309,35.57425687140362,5,1996,1554,1516,1794,1951,2404,3054,2722,3703,3781,3783,2758,"484932, 1401912, 489035, 1405125",2019,15SYV_1,2019-09-08
Fallow/Idle Cropland,-90.57212663253344,35.57424157389444,5,2055,1412,1488,1752,1957,2391,2951,2500,3717,4250,3594,2704,"484932, 1401912, 489035, 1405125",2019,15SYV_1,2019-09-08
Fallow/Idle Cropland,-90.57179325351754,35.57422627544645,5,2055,1310,1384,1582,1676,1889,2252,2198,3004,4250,3269,2558,"484932, 1401912, 489035, 1405125",2019,15SYV_1,2019-09-08
Fallow/Idle Cropland,-90.57145987463537,35.57421097605965,5,1953,1454,1472,1708,1814,2064,2590,2426,3344,7115,3495,2665,"484932, 1401912, 489035, 1405125",2019,15SYV_1,2019-09-08
Fallow/Idle Cropland,-90.57112649588697,35.57419567573412,10,1953,1584,1828,1888,2351,2620,2880,2990,3358,7115,3961,3224,"484932, 1401912, 489035, 1405125",2019,15SYV_1,2019-09-08
Fallow/Idle Cropland,-90.57079311727234,35.5741803744698,10,1766,1782,1896,2248,2694,2955,2903,3596,3340,7220,4029,3372,"484932, 1401912, 489035, 1405125",2019,15SYV_1,2019-09-08
Fallow/Idle Cropland,-90.57045973879147,35.574165072266716,10,1766,2282,2274,2436,2922,3240,2979,4192,3119,7220,4096,3737,"484932, 1401912, 489035, 1405125",2019,15SYV_1,2019-09-08
Fallow/Idle Cropland,-90.57012636044438,35.57414976912486,10,1580,2566,2272,2360,2688,2818,2837,4300,3166,6071,4166,3856,"484932, 1401912, 489035, 1405125",2019,15SYV_1,2019-09-08
Fallow/Idle Cropland,-90.56979298223108,35.57413446504426,10,1580,2740,2710,2162,2500,2544,2716,4580,2998,6071,4440,4315,"484932, 1401912, 489035, 1405125",2019,15SYV_1,2019-09-08
Fallow/Idle Cropland,-90.56945960415158,35.57411916002484,10,1314,2474,2178,2216,2521,2616,2747,4084,3004,4911,4464,4406,"484932, 1401912, 489035, 1405125",2019,15SYV_1,2019-09-08
Fallow/Idle Cropland,-90.56912622620588,35.57410385406664,10,1314,2502,2316,2156,2578,2819,2842,4300,3015,4911,4357,4314,"484932, 1401912, 489035, 1405125",2019,15SYV_1,2019-09-08
Fallow/Idle Cropland,-90.56879284839398,35.5740885471697,10,1442,2048,2192,2084,2626,3050,3113,4068,3347,5756,4384,4139,"484932, 1401912, 489035, 1405125",2019,15SYV_1,2019-09-08
Fallow/Idle Cropland,-90.56845947071591,35.574073239333956,10,1442,2250,2210,2200,2689,3128,3068,4100,3279,5756,4300,4041,"484932, 1401912, 489035, 1405125",2019,15SYV_1,2019-09-08
Fallow/Idle Cropland,-90.56812609317167,35.57405793055945,10,2085,1594,1980,2138,2702,3030,3102,3296,3312,9483,4136,3664,"484932, 1401912, 489035, 1405125",2019,15SYV_1,2019-09-08
Fallow/Idle Cropland,-90.56779271576127,35.57404262084622,10,2085,1574,2020,2238,2857,3599,3978,3372,4441,9483,4036,3312,"484932, 1401912, 489035, 1405125",2019,15SYV_1,2019-09-08
Fallow/Idle Cropland,-90.56745933848472,35.574027310194154,10,3020,1790,2264,2658,3266,4101,4398,3436,4764,13606,4149,3446,"484932, 1401912, 489035, 1405125",2019,15SYV_1,2019-09-08
Dbl Crop WinWht/Soybeans,-90.56312544607303,35.57382818628997,10,2633,3088,2438,2266,3057,4356,4776,5025,5017,12770,4118,2999,"484932, 1401912, 489035, 1405125",2019,15SYV_1,2019-09-08
Dbl Crop WinWht/Soybeans,-90.56279207067115,35.57381286249522,10,2237,2820,2564,2328,3018,4212,4676,4848,4911,11005,4038,2890,"484932, 1401912, 489035, 1405125",2019,15SYV_1,2019-09-08
Dbl Crop WinWht/Soybeans,-90.56245869540324,35.57379753776165,10,2237,2766,2614,2382,2946,4115,4592,4860,4821,11005,3907,2709,"484932, 1401912, 489035, 1405125",2019,15SYV_1,2019-09-08
Dbl Crop WinWht/Soybeans,-90.56212532026929,35.573782212089384,10,1749,2588,2424,2222,2882,4110,4615,4897,4793,8647,3931,2751,"484932, 1401912, 489035, 1405125",2019,15SYV_1,2019-09-08
Dbl Crop WinWht/Soybeans,-90.56179194526933,35.573766885478356,10,1749,2214,2128,2004,2549,3872,4337,4672,4609,8647,3838,2692,"484932, 1401912, 489035, 1405125",2019,15SYV_1,2019-09-08
Dbl Crop WinWht/Soybeans,-90.56145857040337,35.573751557928595,10,1526,1820,1930,1826,2518,3786,4162,4408,4395,7649,3827,2730,"484932, 1401912, 489035, 1405125",2019,15SYV_1,2019-09-08
Dbl Crop WinWht/Soybeans,-90.56112519567141,35.573736229440044,10,1526,1726,1860,1830,2601,3864,4292,4316,4491,7649,3865,2795,"484932, 1401912, 489035, 1405125",2019,15SYV_1,2019-09-08
Dbl Crop WinWht/Soybeans,-90.56079182107345,35.573720900012766,10,1601,1766,1998,1838,2556,3864,4266,4487,4481,8289,3852,2788,"484932, 1401912, 489035, 1405125",2019,15SYV_1,2019-09-08
Dbl Crop WinWht/Soybeans,-90.56045844660952,35.57370556964665,10,1601,1722,2002,1690,2282,3771,4403,4580,4731,8289,3690,2668,"484932, 1401912, 489035, 1405125",2019,15SYV_1,2019-09-08
Dbl Crop WinWht/Soybeans,-90.56012507227959,35.573690238341825,10,1748,2068,2032,1506,2153,3696,4454,4703,4895,9074,3559,2668,"484932, 1401912, 489035, 1405125",2019,15SYV_1,2019-09-08
Dbl Crop WinWht/Soybeans,-90.5597916980837,35.57367490609826,10,1748,2210,2050,2136,2582,3888,4305,4643,4591,9074,3793,2731,"484932, 1401912, 489035, 1405125",2019,15SYV_1,2019-09-08
Dbl Crop WinWht/Soybeans,-90.55945832402186,35.573659572915915,10,1732,1764,2056,1742,2424,3914,4455,4520,4725,8723,3639,2539,"484932, 1401912, 489035, 1405125",2019,15SYV_1,2019-09-08
Dbl Crop WinWht/Soybeans,-90.55912495009404,35.5736442387948,10,1732,1522,1942,1896,2371,3902,4541,4532,4794,8723,3451,2309,"484932, 1401912, 489035, 1405125",2019,15SYV_1,2019-09-08
Dbl Crop WinWht/Soybeans,-90.55879157630031,35.57362890373495,10,1459,1330,1798,1650,2291,3863,4450,4492,4786,7829,3401,2155,"484932, 1401912, 489035, 1405125",2019,15SYV_1,2019-09-08
Dbl Crop WinWht/Soybeans,-90.55845820264064,35.57361356773634,10,1459,1382,1636,1654,2078,3676,4369,4560,4744,7829,3191,1958,"484932, 1401912, 489035, 1405125",2019,15SYV_1,2019-09-08
Dbl Crop WinWht/Soybeans,-90.55812482911503,35.57359823079897,10,1394,1304,1426,1228,1880,3848,4611,4556,4914,7399,3176,2127,"484932, 1401912, 489035, 1405125",2019,15SYV_1,2019-09-08
Dbl Crop WinWht/Soybeans,-90.5577914557235,35.57358289292287,10,1394,1188,1220,1094,1678,3714,4524,4528,4845,7399,3042,2143,"484932, 1401912, 489035, 1405125",2019,15SYV_1,2019-09-08
Dbl Crop WinWht/Soybeans,-90.55745808246604,35.573567554108024,10,1372,1048,1076,1120,1763,3681,4441,4252,4782,6841,3164,2200,"484932, 1401912, 489035, 1405125",2019,15SYV_1,2019-09-08
Dbl Crop WinWht/Soybeans,-90.5571247093427,35.5735522143544,10,1372,957,1202,1216,1893,3759,4480,4189,4792,6841,3267,2175,"484932, 1401912, 489035, 1405125",2019,15SYV_1,2019-09-08
Dbl Crop WinWht/Soybeans,-90.55679133635347,35.573536873662015,10,996,784,1007,1288,1891,3685,4378,4228,4690,5065,3090,1844,"484932, 1401912, 489035, 1405125",2019,15SYV_1,2019-09-08
Dbl Crop WinWht/Soybeans,-90.55645796349835,35.57352153203086,4,996,718,1008,1068,1711,3551,4335,4224,4606,5065,2961,1683,"484932, 1401912, 489035, 1405125",2019,15SYV_1,2019-09-08
Dbl Crop WinWht/Soybeans,-90.55612459077734,35.57350618946098,4,681,888,1094,1076,1878,3237,3792,3980,4135,4265,3344,2418,"484932, 1401912, 489035, 1405125",2019,15SYV_1,2019-09-08
Dbl Crop WinWht/Soybeans,-90.55579121819046,35.57349084595235,4,681,962,1178,1204,1683,3161,3734,3760,4143,4265,3309,2393,"484932, 1401912, 489035, 1405125",2019,15SYV_1,2019-09-08
Developed/Open Space,-90.55545784573772,35.573475501504994,4,607,921,1174,1126,1757,3056,3412,3612,3927,4219,3200,2134,"484932, 1401912, 489035, 1405125",2019,15SYV_1,2019-09-08
Cotton,-90.55512447341914,35.57346015611885,4,607,672,902,711,1690,3489,4149,4412,4412,4219,3077,1746,"484932, 1401912, 489035, 1405125",2019,15SYV_1,2019-09-08
Cotton,-90.5547911012347,35.57344480979397,4,536,571,870,602,1562,3997,4565,4672,5045,4829,2861,1433,"484932, 1401912, 489035, 1405125",2019,15SYV_1,2019-09-08
Cotton,-90.55445772918442,35.57342946253031,4,536,532,764,518,1394,4020,4681,4616,5113,4829,2748,1275,"484932, 1401912, 489035, 1405125",2019,15SYV_1,2019-09-08
Cotton,-90.55412435726831,35.57341411432797,4,513,541,809,628,1593,3743,4364,4384,4773,4788,2837,1391,"484932, 1401912, 489035, 1405125",2019,15SYV_1,2019-09-08
Cotton,-90.55379098548637,35.573398765186845,4,513,539,782,652,1629,3900,4424,4392,5028,4788,2843,1383,"484932, 1401912, 489035, 1405125",2019,15SYV_1,2019-09-08
Background,-90.59948313240973,35.575225296475764,4,621,611,1024,860,1833,4456,5171,4476,5352,4235,3031,1641,"484932, 1401912, 489035, 1405125",2019,15SYV_1,2019-09-08
Cotton,-90.59914974361999,35.57521007505913,4,534,479,907,537,1631,4992,5673,5340,6174,5701,2559,1246,"484932, 1401912, 489035, 1405125",2019,15SYV_1,2019-09-08
Cotton,-90.59881635496333,35.57519485270364,4,534,497,930,462,1735,4968,5638,5876,6008,5701,2555,1202,"484932, 1401912, 489035, 1405125",2019,15SYV_1,2019-09-08
Cotton,-90.59848296643976,35.57517962940936,4,527,520,964,621,1813,4598,5191,5048,5558,5383,2636,1359,"484932, 1401912, 489035, 1405125",2019,15SYV_1,2019-09-08
Cotton,-90.5981495780493,35.57516440517627,4,527,547,986,739,1886,4430,5049,4772,5285,5383,2713,1448,"484932, 1401912, 489035, 1405125",2019,15SYV_1,2019-09-08
Cotton,-90.59781618979191,35.57514918000436,4,511,492,898,483,1764,4906,5584,5556,5975,5871,2584,1238,"484932, 1401912, 489035, 1405125",2019,15SYV_1,2019-09-08
Cotton,-90.59748280166767,35.575133953893655,4,511,464,930,461,1732,5076,5815,5884,6218,5871,2580,1163,"484932, 1401912, 489035, 1405125",2019,15SYV_1,2019-09-08
Cotton,-90.59714941367653,35.5751187268441,4,512,537,958,601,1754,4628,5291,5140,5581,5703,2744,1412,"484932, 1401912, 489035, 1405125",2019,15SYV_1,2019-09-08
Cotton,-90.59681602581853,35.57510349885577,4,512,514,988,545,1708,4745,5491,5416,5867,5703,2680,1305,"484932, 1401912, 489035, 1405125",2019,15SYV_1,2019-09-08
Cotton,-90.59648263809365,35.575088269928564,4,490,497,962,430,1701,5581,6423,6440,6772,6519,2603,1100,"484932, 1401912, 489035, 1405125",2019,15SYV_1,2019-09-08
Cotton,-90.59614925050192,35.57507304006263,4,490,482,980,438,1697,5547,6413,6432,6750,6519,2622,1082,"484932, 1401912, 489035, 1405125",2019,15SYV_1,2019-09-08
Cotton,-90.59581586304336,35.57505780925782,4,513,486,1023,459,1764,5537,6355,6344,6647,6057,2646,1123,"484932, 1401912, 489035, 1405125",2019,15SYV_1,2019-09-08
Cotton,-90.59548247571794,35.57504257751419,4,513,503,974,465,1824,5349,6103,6256,6598,6057,2689,1181,"484932, 1401912, 489035, 1405125",2019,15SYV_1,2019-09-08
Cotton,-90.59514908852569,35.57502734483184,4,590,454,968,471,1829,5346,6103,6240,6456,5697,2755,1320,"484932, 1401912, 489035, 1405125",2019,15SYV_1,2019-09-08
Cotton,-90.59481570146663,35.5750121112106,4,590,507,962,497,1851,5277,5918,6064,6379,5697,2740,1297,"484932, 1401912, 489035, 1405125",2019,15SYV_1,2019-09-08
Cotton,-90.59448231454074,35.57499687665058,4,604,544,1032,607,1879,5092,5785,5768,6204,6029,2808,1402,"484932, 1401912, 489035, 1405125",2019,15SYV_1,2019-09-08
Cotton,-90.59414892774807,35.57498164115177,4,604,501,1019,520,2008,5594,6259,6308,6600,6029,2661,1173,"484932, 1401912, 489035, 1405125",2019,15SYV_1,2019-09-08
Cotton,-90.59381554108857,35.57496640471407,4,554,513,1036,475,1870,5741,6540,6612,6824,6462,2652,1136,"484932, 1401912, 489035, 1405125",2019,15SYV_1,2019-09-08
Cotton,-90.5934821545623,35.574951167337666,4,554,802,1116,570,1871,5767,6596,6312,6975,6462,2681,1130,"484932, 1401912, 489035, 1405125",2019,15SYV_1,2019-09-08
Cotton,-90.59314876816923,35.57493592902238,4,526,868,1354,730,1941,5607,6504,6068,7024,6605,2737,1142,"484932, 1401912, 489035, 1405125",2019,15SYV_1,2019-09-08
Cotton,-90.59281538190939,35.57492068976836,4,526,610,1166,501,1811,5579,6446,6280,6911,6605,2730,1165,"484932, 1401912, 489035, 1405125",2019,15SYV_1,2019-09-08
Cotton,-90.59248199578279,35.57490544957543,4,523,722,1086,483,1870,5895,6757,6432,7130,6670,2727,1136,"484932, 1401912, 489035, 1405125",2019,15SYV_1,2019-09-08
Cotton,-90.59214860978942,35.57489020844383,4,523,648,1098,476,1844,5746,6680,6268,6975,6670,2679,1136,"484932, 1401912, 489035, 1405125",2019,15SYV_1,2019-09-08
Cotton,-90.59181522392932,35.574874966373336,4,581,626,1030,478,1790,5905,6795,6876,7146,6905,2677,1106,"484932, 1401912, 489035, 1405125",2019,15SYV_1,2019-09-08
Cotton,-90.59148183820247,35.574859723364064,4,581,610,1028,520,1778,5843,6712,6708,7090,6905,2705,1158,"484932, 1401912, 489035, 1405125",2019,15SYV_1,2019-09-08
Cotton,-90.59114845260888,35.57484447941595,4,616,562,1022,514,1750,5254,6104,6568,6316,6055,2919,1416,"484932, 1401912, 489035, 1405125",2019,15SYV_1,2019-09-08
Corn,-90.58781460400448,35.57469198830102,10,632,1008,1360,1102,1680,2677,3078,3816,3514,3787,2939,1731,"484932, 1401912, 489035, 1405125",2019,15SYV_1,2019-09-08
Corn,-90.58748121987738,35.57467673402613,4,632,836,1138,1108,1712,2716,3089,3424,3497,3787,3027,1770,"484932, 1401912, 489035, 1405125",2019,15SYV_1,2019-09-08
Corn,-90.58714783588361,35.57466147881243,4,750,676,1048,1190,1870,2840,3168,3136,3538,3667,3151,1862,"484932, 1401912, 489035, 1405125",2019,15SYV_1,2019-09-08
Corn,-90.58681445202323,35.57464622265991,4,750,633,946,1068,1742,2756,3136,3096,3597,3667,3062,1843,"484932, 1401912, 489035, 1405125",2019,15SYV_1,2019-09-08
Corn,-90.58648106829622,35.57463096556866,4,1165,620,915,1120,1738,2555,3227,2742,4045,4069,3253,2200,"484932, 1401912, 489035, 1405125",2019,15SYV_1,2019-09-08
Corn,-90.58614768470262,35.57461570753858,4,1165,623,898,1132,1671,2544,3346,2652,4120,4069,3245,2223,"484932, 1401912, 489035, 1405125",2019,15SYV_1,2019-09-08
Corn,-90.5858143012424,35.574600448569704,4,1089,616,946,1130,1620,2306,2876,2814,3589,3595,3343,2174,"484932, 1401912, 489035, 1405125",2019,15SYV_1,2019-09-08
Corn,-90.58548091791559,35.574585188662034,4,1089,598,838,1228,1574,1939,2346,2266,2953,3595,3582,2315,"484932, 1401912, 489035, 1405125",2019,15SYV_1,2019-09-08
Corn,-90.5851475347222,35.57456992781558,5,757,598,836,1192,1563,1823,2159,2254,2809,2780,3679,2411,"484932, 1401912, 489035, 1405125",2019,15SYV_1,2019-09-08
Corn,-90.58481415166221,35.57455466603034,5,757,596,867,1230,1604,1901,2154,2284,2573,2780,3744,2519,"484932, 1401912, 489035, 1405125",2019,15SYV_1,2019-09-08
Corn,-90.58448076873566,35.574539403306254,5,595,672,936,1272,1683,2002,2249,2446,2766,2752,3841,2600,"484932, 1401912, 489035, 1405125",2019,15SYV_1,2019-09-08
Corn,-90.58414738594254,35.57452413964341,5,595,653,888,1286,1671,1916,2210,2390,2709,2752,3836,2562,"484932, 1401912, 489035, 1405125",2019,15SYV_1,2019-09-08
Corn,-90.58381400328287,35.574508875041786,5,666,616,846,1244,1591,1814,2135,2298,2694,2740,3750,2452,"484932, 1401912, 489035, 1405125",2019,15SYV_1,2019-09-08
Corn,-90.58348062075666,35.574493609501346,4,1083,571,813,1138,1469,1955,2368,2338,2851,3437,3436,2131,"484932, 1401912, 489035, 1405125",2019,15SYV_1,2019-09-08
Corn,-90.5831472383639,35.57447834302216,4,1083,536,770,1048,1473,2193,2696,2456,3327,3437,3260,2062,"484932, 1401912, 489035, 1405125",2019,15SYV_1,2019-09-08
Corn,-90.58281385610464,35.57446307560412,4,1513,567,771,1026,1672,2761,3591,2722,4364,4431,3290,2292,"484932, 1401912, 489035, 1405125",2019,15SYV_1,2019-09-08
Corn,-90.58248047397882,35.57444780724731,4,1513,522,821,994,1472,2404,3330,2618,4255,4431,3205,2216,"484932, 1401912, 489035, 1405125",2019,15SYV_1,2019-09-08
Corn,-90.5821470919865,35.57443253795174,4,1523,501,866,1116,1610,2465,3003,2864,3837,7031,3072,1925,"484932, 1401912, 489035, 1405125",2019,15SYV_1,2019-09-08
Corn,-90.58181371012766,35.574417267717365,4,1523,590,1032,1260,1864,2791,3199,3120,3823,7031,3071,1959,"484932, 1401912, 489035, 1405125",2019,15SYV_1,2019-09-08
Rice,-90.58148032840235,35.574401996544196,10,1376,580,1222,1166,1802,2924,3455,3484,4053,7042,3182,2079,"484932, 1401912, 489035, 1405125",2019,15SYV_1,2019-09-08
Developed/Open Space,-90.58114694681053,35.57438672443226,10,1376,1116,1712,1956,2320,3021,3297,3452,3915,7042,4080,2733,"484932, 1401912, 489035, 1405125",2019,15SYV_1,2019-09-08
Developed/Open Space,-90.58081356535224,35.57437145138154,10,993,957,1558,1364,1973,3765,4250,4496,4773,6317,3428,1905,"484932, 1401912, 489035, 1405125",2019,15SYV_1,2019-09-08
Cotton,-90.58048018402746,35.57435617739199,10,993,656,1426,1334,2122,3712,4189,4272,4665,6317,3137,1661,"484932, 1401912, 489035, 1405125",2019,15SYV_1,2019-09-08
Cotton,-90.58014680283623,35.57434090246367,10,956,850,1252,1182,2012,3793,4261,4264,4713,6954,3067,1708,"484932, 1401912, 489035, 1405125",2019,15SYV_1,2019-09-08
Cotton,-90.57981342177855,35.57432562659653,10,956,708,1072,898,1866,3940,4464,4452,4904,6954,2990,1668,"484932, 1401912, 489035, 1405125",2019,15SYV_1,2019-09-08
Cotton,-90.57948004085439,35.57431034979071,10,1181,529,874,686,1533,4395,5130,5180,5453,6781,2833,1502,"484932, 1401912, 489035, 1405125",2019,15SYV_1,2019-09-08
Cotton,-90.57914666006381,35.57429507204599,4,1181,556,856,514,1394,4321,5179,5296,5510,6781,2722,1361,"484932, 1401912, 489035, 1405125",2019,15SYV_1,2019-09-08
Cotton,-90.5788132794068,35.574279793362564,4,1418,562,952,512,1573,4445,5203,5376,5737,5469,2829,1368,"484932, 1401912, 489035, 1405125",2019,15SYV_1,2019-09-08
Cotton,-90.57847989888336,35.574264513740296,4,1418,589,862,554,1600,4382,5173,5392,5601,5469,2861,1431,"484932, 1401912, 489035, 1405125",2019,15SYV_1,2019-09-08
Cotton,-90.5781465184935,35.574249233179316,4,1382,596,913,611,1592,4273,5012,5380,5388,4933,2879,1571,"484932, 1401912, 489035, 1405125",2019,15SYV_1,2019-09-08
Cotton,-90.57781313823725,35.5742339516795,4,1382,698,1012,976,1685,3893,4604,4560,4939,4933,3107,1869,"484932, 1401912, 489035, 1405125",2019,15SYV_1,2019-09-08
Rice,-90.57747975811458,35.57421866924092,4,1105,735,1094,1066,1839,3227,3757,3652,4130,4178,2736,1604,"484932, 1401912, 489035, 1405125",2019,15SYV_1,2019-09-08
Rice,-90.5771463781255,35.57420338586354,4,1105,799,916,782,1655,3198,3777,3720,4201,4178,2447,1352,"484932, 1401912, 489035, 1405125",2019,15SYV_1,2019-09-08
Rice,-90.57681299827009,35.57418810154737,4,900,648,988,771,1692,3155,3709,3620,4077,4099,2439,1416,"484932, 1401912, 489035, 1405125",2019,15SYV_1,2019-09-08
Rice,-90.57647961854825,35.57417281629246,4,900,550,880,747,1640,3057,3614,3400,4101,4099,2272,1326,"484932, 1401912, 489035, 1405125",2019,15SYV_1,2019-09-08
Rice,-90.57614623896006,35.57415753009874,4,971,618,897,750,1540,2939,3481,3524,3984,3904,2214,1202,"484932, 1401912, 489035, 1405125",2019,15SYV_1,2019-09-08
Rice,-90.57581285950552,35.57414224296626,4,971,690,858,744,1424,2806,3287,3380,3732,3904,2152,1120,"484932, 1401912, 489035, 1405125",2019,15SYV_1,2019-09-08
Rice,-90.57547948018463,35.574126954895014,4,594,528,754,642,1316,2713,3242,3276,3752,3817,2069,1087,"484932, 1401912, 489035, 1405125",2019,15SYV_1,2019-09-08
Rice,-90.57514610099739,35.574111665884914,4,594,478,772,634,1364,2717,3225,3256,3785,3817,2071,1068,"484932, 1401912, 489035, 1405125",2019,15SYV_1,2019-09-08
Rice,-90.57481272194381,35.57409637593613,4,686,461,822,698,1401,2861,3371,3452,3865,3945,2072,1060,"484932, 1401912, 489035, 1405125",2019,15SYV_1,2019-09-08
Rice,-90.57447934302391,35.5740810850485,4,686,510,858,872,1463,2905,3386,3376,3888,3945,2159,1134,"484932, 1401912, 489035, 1405125",2019,15SYV_1,2019-09-08
Rice,-90.57414596423767,35.57406579322216,4,669,481,795,883,1591,2928,3468,3288,3831,3906,2252,1160,"484932, 1401912, 489035, 1405125",2019,15SYV_1,2019-09-08
Rice,-90.57381258558515,35.574050500456956,4,669,548,970,880,1692,3047,3533,3460,3829,3906,2273,1151,"484932, 1401912, 489035, 1405125",2019,15SYV_1,2019-09-08
Rice,-90.5734792070663,35.57403520675309,4,937,642,952,828,1506,2808,3252,3476,3673,3618,2253,1227,"484932, 1401912, 489035, 1405125",2019,15SYV_1,2019-09-08
Developed/Open Space,-90.57314582868118,35.57401991211037,5,937,1482,1586,1744,2019,3027,3418,3764,3803,3618,3374,2367,"484932, 1401912, 489035, 1405125",2019,15SYV_1,2019-09-08
Fallow/Idle Cropland,-90.57281245042975,35.574004616528825,5,1323,1590,1784,1980,2150,2336,2524,3038,2890,2883,4043,3527,"484932, 1401912, 489035, 1405125",2019,15SYV_1,2019-09-08
Fallow/Idle Cropland,-90.57247907231205,35.57398932000861,5,1323,1582,1750,1888,2091,2291,2535,2968,2861,2883,3946,3386,"484932, 1401912, 489035, 1405125",2019,15SYV_1,2019-09-08
Fallow/Idle Cropland,-90.57214569432809,35.57397402254959,5,1450,1570,1666,1828,1973,2259,2516,2722,2803,2772,3668,3084,"484932, 1401912, 489035, 1405125",2019,15SYV_1,2019-09-08
